"ayto:foto";"ayto:numero";"ayto:parada";"ayto:sentido";"dc:identifier";"dc:modified";"gn:coordX";"gn:coordY";"id";"vivo:address1";"wgs84_pos:lat";"wgs84_pos:long"
"oracle.sql.BLOB@75973529";"405";"El Mazo 2";"Las Estaciones";"377";"2014-04-14 12:20:01";"430546.8";"4813489";"http://datos.santander.es/api/datos/paradas_bus/377";"El Mazo. 2";"43.46921235154671";"-3.859974453786183"
"oracle.sql.BLOB@1a23530f";"406";"Barrio El Somo 43";"Las Estaciones";"378";"2014-04-14 12:20:01";"430602";"4813185";"http://datos.santander.es/api/datos/paradas_bus/378";"El Somo. 43";"43.466480464960135";"-3.859253339961448"
"oracle.sql.BLOB@5220b31";"408";"El Somo";"Las Estaciones";"380";"2014-04-14 12:20:01";"431021.4";"4813074";"http://datos.santander.es/api/datos/paradas_bus/380";"El Somo";"43.465519904829144";"-3.8540549813533764"
"oracle.sql.BLOB@7e0cc098";"413";"La Albericia 1";"Las Estaciones";"385";"2014-04-14 12:20:01";"432516.85";"4812646.25";"http://datos.santander.es/api/datos/paradas_bus/385";"La Albericia. 1";"43.46180517478544";"-3.835516603678195"
"oracle.sql.BLOB@77387bce";"415";"La Torre";"Las Estaciones";"387";"2014-04-14 12:20:01";"432055.5";"4812926";"http://datos.santander.es/api/datos/paradas_bus/387";"C/ La Gloria";"43.46428209323151";"-3.841253938214138"
"oracle.sql.BLOB@1d484e88";"416";"La Gloria 120";"Corban";"388";"2014-04-14 12:20:01";"431829";"4813067";"http://datos.santander.es/api/datos/paradas_bus/388";"La Gloria. 120";"43.465530952115564";"-3.844071313470441"
"oracle.sql.BLOB@761bd1bc";"420";"La Gloria 163";"Las Estaciones";"391";"2014-04-14 12:20:01";"431312";"4813055";"http://datos.santander.es/api/datos/paradas_bus/391";"La Gloria. 163";"43.46537559447534";"-3.8504604653996384"
"oracle.sql.BLOB@1c66ca38";"421";"La Gloria 157";"Las Estaciones";"392";"2014-04-14 12:20:01";"431584";"4813045";"http://datos.santander.es/api/datos/paradas_bus/392";"La Gloria. 157";"43.46531049950339";"-3.847097010045192"
"oracle.sql.BLOB@20663119";"423";"La Torre";"Las Estaciones";"394";"2014-04-14 12:20:01";"432092";"4812870";"http://datos.santander.es/api/datos/paradas_bus/394";"La Torre";"43.463781219811146";"-3.8407957854921664"
"oracle.sql.BLOB@152170ed";"429";"Calle Alta 46";"Valdecilla";"132";"2014-04-14 12:20:01";"434147.81";"4812396.14";"http://datos.santander.es/api/datos/paradas_bus/132";"Calle Alta nº 46";"43.45969873538138";"-3.8153270733904434"
